413	942197
23	942198
144	942199
365	942200
167	942201
424	942202
13	942204
195	942205
133	942206
16	942207
3	942208
126	942209
2	942210
212	942211
338	942212
51	942213
188	942214
33	942215
117	942216
2	942217
102	942218
480	942219
14	942220
125	942221
5	942222
33	942223
29	942224
2	942225
1157	942226
139	942227
48	942228
192	942229
44	942230
5	942232
5	942233
37	942234
6	942235
13	942236
3	942237
5	942256
4	942383
171	942384
5	942385
4	942386
2	942387
43	942388
2	942389
3	942390
3	942391
3	942392
46	942393
92	942394
4	942395
3	942396
5	942397
2	942398
4	942399
33	942400
527	942401
5	942402
51	942403
2	942404
52	942405
98	942406
12	942407
77	942408
123	942409
247	942410
2	942411
29	942412
52	942413
3	942414
160	942415
8	942416
12	942417
17	942418
29	942419
12	942420
79	942421
35	942422
4	942423
7	942424
272	942425
26	942426
24	942427
32	942428
258	942429
30	942430
25	942431
18	942432
752	942433
14	942434
190	942435
16	942436
572	942437
7	942438
753	942439
117	942440
10	942441
22	942442
191	942443
2	942444
18	942445
3	942446
3	942447
5	942448
34	942449
4	942450
162	942451
38	942452
7	942453
2026	942454
21	942455
160	942456
6	942457
16	942458
5	942459
2	942460
2352	942461
717	942462
5	942463
253	942464
99	942465
82	942466
5	942467
5	942468
4	942478
51	942485
14	942500
2	942520
6	942584
81	942591
153	942592
5	942593
2	942594
25	942595
3	942596
5	942597
3	942598
3	942599
3	942600
7	942601
13	942602
3	942603
18	942604
2	942605
3	942606
2	942607
5	942608
68	942609
2	942610
66	942611
10	942612
97	942613
4	942614
17	942615
17	942616
6	942617
3	942618
2	942619
4	942620
6	942621
4	942622
2	942623
267	942624
6	942625
8	942626
4	942627
2	942628
4	942629
5	942630
4	942631
225	942632
180	942633
3	942634
5	942635
5	942636
23	942638
92	942639
4	942640
101	942641
117	942642
89	942643
3	942644
3	942645
7	942646
2	942647
7	942648
3	942649
2	942650
3	942651
2	942652
7	942653
484	942654
3	942655
862	942656
11	942657
416	942658
2	942659
9	942660
9	942661
753	942689
191	942690
4	942691
27	942692
2	942693
4	942694
878	942695
3	942696
26	942697
4	942698
38	942699
159	942700
30	942701
5	942702
31	942703
6	942704
128	942705
4	942706
30	942707
5	942708
266	942709
4	942710
5	942711
3	942712
4	942713
3	942714
4	942715
2	942716
35	942717
393	942718
4	942719
14	942720
23	942721
3	942722
535	942723
15	942724
4	942725
9	942726
5	942727
2	942728
5	942729
3	942730
3	942731
3	942732
3	942733
3	942734
3	942735
6	942736
2	942737
5	942738
2	942739
11	942740
10	942741
6	942742
3	942743
119	942744
7	942745
3	942746
3	942747
2	942748
6	942749
6	942750
3	942751
7	942752
175	942753
5	942754
4	942755
102	942756
347	942757
7	942758
251	942759
360	942760
249	942761
407	942762
133	942763
3	942764
278	942765
164	942766
168	942767
2	942768
2	942769
5	942771
40	942772
658	942773
622	942774
16	942775
4	942776
6	942777
3	942778
116	942779
7	942780
261	942781
7	942782
292	942783
3	942784
6	942785
2	942786
424	942787
19	942788
33	942789
10	942790
2	942791
25	942792
57	942793
4	942794
12	942795
146	942796
2	942797
133	942798
4	942799
57	942800
3	942801
10	942802
4	942803
9	942804
22	942805
5	942806
3	942807
5	942808
8	942809
4	942810
3	942811
6	942812
4	942813
10	942814
19	942815
5	942816
57	942817
3	942818
3	942819
351	942820
71	942821
4	942822
7	942823
138	942824
12	942825
51	942826
3	942827
3	942828
3	942829
156	942830
109	942831
2	942832
19	942833
8	942834
5	942835
5	942836
5	942837
3	942838
3	942839
3	942840
104	942841
3	942842
38	942843
5	942844
21	942845
45	942846
75	942847
16	942848
68	942849
3	942850
3	942851
16	942852
5	942853
126	942854
19	942855
2	942856
3	942857
4	942858
3	942859
8	942860
16	942861
42	942862
56	942863
51	942864
4	942865
6	942866
76	942867
2	942868
4	942869
129	942870
288	942871
4	942872
126	942873
2	942874
3	942875
5	942876
132	942877
75	942878
12	942879
9	942880
5	942881
4	942882
97	942883
80	942884
5	942885
7	942886
22	942887
3	942888
44	942889
109	942890
98	942891
7	942892
170	942893
81	942894
57	942895
68	942896
2	942897
4	942898
16	942899
97	942900
109	942901
97	942902
66	942903
154	942904
27	942905
3	942906
132	942907
752	942908
80	942909
12	942910
305	942911
3	942912
24	942913
49	942914
43	942915
85	942916
70	942917
81	942918
37	942919
74	942920
4	942921
9	942922
144	942923
51	942924
3	942925
10	942926
3	942927
5	942928
70	942929
831	942930
5	942931
466	942932
78	942933
111	942934
62	942935
3	942936
80	942937
2	942938
23	942939
41	942940
2	942941
88	942942
209	942943
263	942944
23	942945
4	942946
5	942947
45	942948
3	942949
3	942950
23	942951
265	942952
51	942953
57	942954
6	942955
105	942956
14	942957
65	942958
9	942959
49	942960
9	942961
3	942962
576	942963
4	942964
2	942965
3	942966
48	942967
201	942968
6	942969
24	942970
60	942971
4	942972
4	942973
4	942974
492	942975
7	942976
493	942977
7	942978
2	942979
65	942980
11	942981
6	942982
2	942984
385	942985
16	942986
4	942987
94	942988
3	942989
3	942990
5	942991
4	942992
3	942993
201	942994
34	942995
2	942996
22	942997
143	942998
11	942999
3	943000
6	943001
6	943002
4	943003
10	943004
3	943005
3	943006
3	943007
3	943008
5	943009
3	943010
87	943011
131	943012
3	943013
11818	943014
50	943015
8	943016
3	943017
5	943018
533	943019
5	943020
483	943021
117	943022
3	943023
20	943024
4	943025
4	943026
2	943027
4	943028
287	943029
5	943030
57	943031
50	943032
3	943033
205	943034
4	943035
6	943036
3	943037
3	943038
4	943039
34	943040
14	943041
106	943042
4	943043
7	943044
9	943045
146	943046
118	943047
5	943048
14	943049
108	943050
33	943051
4	943052
7	943053
3	943054
57	943055
20	943056
5	943057
90	943058
6	943059
7	943060
2	943061
46	943062
9	943063
4	943064
8	943065
12	943066
4	943067
9	943068
3	943069
3	943070
9	943071
264	943072
29	943073
132	943074
270	943075
70	943076
2	943077
15	943078
3	943079
3	943080
3	943081
4	943082
7	943083
3	943084
8	943085
3	943086
5	943087
31	943088
3	943089
5	943090
5	943091
5	943092
5	943093
103	943094
2	943095
102	943096
